utt_id,measure,kind,v1,v2,delta,pct_change,sign_changed,changed
s01_A_modal_C001,tilt_n_vowels,numeric,6.0,6.0,0.0,0.0,False,False
s01_A_modal_C001,vot_mean_ms,text,,,,,False,False
s01_A_modal_C001,vot_n,numeric,0.0,0.0,0.0,0.0,False,False
s01_A_modal_C001,vot_k_mean_ms,text,,,,,False,False
s01_A_modal_C001,vot_k_n,numeric,0.0,0.0,0.0,0.0,False,False
s01_A_modal_C001,vot_kʰ_mean_ms,text,,,,,False,False
s01_A_modal_C001,vot_kʰ_n,numeric,0.0,0.0,0.0,0.0,False,False
s01_A_modal_C001,vot_t_mean_ms,text,,,,,False,False
s01_A_modal_C001,vot_t_n,numeric,0.0,0.0,0.0,0.0,False,False
s01_A_modal_C001,vot_tʰ_mean_ms,text,,,,,False,False
s01_A_modal_C001,vot_tʰ_n,numeric,0.0,0.0,0.0,0.0,False,False
s01_A_modal_C002,duration_s,numeric,2.63,2.63,0.0,0.0,False,False
s01_A_modal_C002,f0_mean_hz,numeric,122.23097420396464,122.23097420396464,0.0,0.0,False,False
s01_A_modal_C002,f0_median_hz,numeric,118.53141849213463,118.53141849213463,0.0,0.0,False,False
s01_A_modal_C002,f0_sd_hz,numeric,31.929879221220176,31.929879221220176,0.0,0.0,False,False
s01_A_modal_C002,f0_p10_hz,numeric,70.30874870704704,70.30874870704704,0.0,0.0,False,False
s01_A_modal_C002,f0_p90_hz,numeric,165.8514814984464,165.8514814984464,0.0,0.0,False,False
s01_A_modal_C002,f0_span_st,numeric,14.857389303684815,14.857389303684815,0.0,0.0,False,False
s01_A_modal_C002,f0_floor_used,numeric,62.642676168095605,62.642676168095605,0.0,0.0,False,False
s01_A_modal_C002,f0_ceiling_used,numeric,211.88006185840402,211.88006185840402,0.0,0.0,False,False
s01_A_modal_C002,f0_n_frames,numeric,93.0,93.0,0.0,0.0,False,False
s01_A_modal_C002,f0_window_s,numeric,0.095781349,0.09578134854742758,-4.5257242398122344e-10,-4.7250579440181345e-07,False,True
