take,label,start_sec,end_sec,sentence_block_start_sec
s01_passA_modal,roomtone,0.06405182455610771,5.075255595168699,23.47643699491192
s01_passA_modal,sustained_a,5.648402197896542,8.657180475045474,23.47643699491192
s01_passA_modal,glide,11.686013525768878,14.266171233377666,23.47643699491192
s01_passA_modal,creak_cal,16.338509441378477,19.748647950036244,23.47643699491192
s01_passA_modal,carrier,20.90981158297241,23.47643699491192,23.47643699491192
s01_passB_natural,roomtone,0.8516708600370435,5.9020715213269614,24.87880002719505
s01_passB_natural,sustained_a,6.698937579617254,10.685453124999999,24.87880002719505
s01_passB_natural,glide,11.961276204531433,14.630808061576673,24.87880002719505
s01_passB_natural,creak_cal,16.40804144159549,20.641014808125316,24.87880002719505
s01_passB_natural,carrier,22.821324049291015,24.87880002719505,24.87880002719505
s01_passC_creak,roomtone,0.05054774946415806,5.078887830435818,25.24500320813918
s01_passC_creak,sustained_a,6.085654737196015,10.264369262326204,25.24500320813918
s01_passC_creak,glide,11.37388488346293,14.802789745817742,25.24500320813918
s01_passC_creak,creak_cal,17.204906201976474,21.186797934931658,25.24500320813918
s01_passC_creak,carrier,22.978724564469786,25.24500320813918,25.24500320813918
s02_passA_modal,roomtone,0.14914265301262197,5.177482733984282,30.200068339752775
s02_passA_modal,sustained_a,6.357540339076411,11.416001292225248,30.200068339752775
s02_passA_modal,glide,12.623038656223816,16.384319171816244,30.200068339752775
s02_passA_modal,creak_cal,18.623374482769993,23.703545568764955,30.200068339752775
s02_passA_modal,carrier,28.01819998871648,30.200068339752775,30.200068339752775
s02_passB_natural,roomtone,0.42027863777089774,5.423969992855442,25.184381170428985
s02_passB_natural,sustained_a,6.424712372971688,10.477864562611188,25.184381170428985
s02_passB_natural,glide,11.600391841897965,14.704292775227843,25.184381170428985
s02_passB_natural,creak_cal,16.591768070212794,21.684576397715215,25.184381170428985
s02_passB_natural,carrier,22.472234723830063,25.184381170428985,25.184381170428985
s02_passC_creak,roomtone,0.19844010478685395,5.2021314598713975,25.463655735148212
s02_passC_creak,sustained_a,5.929998238673844,9.921665387902095,25.463655735148212
s02_passC_creak,glide,11.049509027826586,13.778059585997676,25.463655735148212
s02_passC_creak,creak_cal,16.416587866808896,20.670720801191877,25.463655735148212
s02_passC_creak,carrier,22.073472676899566,25.463655735148212,25.463655735148212
