utt_id,measure,kind,v1,v2,delta,pct_change,sign_changed,changed
s01_C_creak_C007,h1_a3_db_mean,numeric,7.669452114917796,-4.86938427382775,-12.538836388745546,-163.49064054205834,True,True
s01_C_creak_C009,h1_h2_db_mean,numeric,-5.454327616,4.293761765290968,9.748089381290967,178.72210962714138,True,True
s01_C_creak_C009,h1s_h2s_db_mean,numeric,-13.55273091,14.869973491935925,28.422704401935924,209.71938859174122,True,True
s01_C_creak_C010,h1_h2_db_mean,numeric,-2.395333404,13.66327708704862,16.05861049104862,670.4123302514851,True,True
s01_C_creak_C010,h1s_h2s_db_mean,numeric,-4.314867014,35.00921212623666,39.32407914023666,911.3624826129268,True,True
s01_C_creak_C010,h1_a3_db_mean,numeric,-0.155852022,12.10103272772567,12.25688474972567,7864.437427527035,True,True
s01_C_creak_C014,h1_a3_db_mean,numeric,0.023396613453138926,-33.530095684543014,-33.55349229799615,-143411.74788052312,True,True
s01_C_creak_C017,h1_h2_db_mean,numeric,-2.813519855,1.3037547504063483,4.117274605406348,146.3389212658088,True,True
s01_C_creak_C017,h1s_h2s_db_mean,numeric,-3.46567982,0.8741139978083652,4.339793817808365,125.22200674061013,True,True
s01_C_creak_C019,h1s_h2s_db_mean,numeric,-0.881915449,2.248317906727671,3.130233355727671,354.93576615275634,True,True
s01_C_creak_C023,h1_h2_db_mean,numeric,0.9776343497711046,-1.7211182304075585,-2.698752580178663,-276.04927965251295,True,True
s01_C_creak_C023,h1s_h2s_db_mean,numeric,0.069035967,-1.853205255790698,-1.922241222790698,-2784.4054430217484,True,True
s01_C_creak_D001,h1_h2_db_mean,numeric,7.471176434458072,-13.635965501775397,-21.107141936233468,-282.5143017488449,True,True
s01_C_creak_D001,h1s_h2s_db_mean,numeric,19.028530297894786,-14.409005922372309,-33.43753622026709,-175.72316777384768,True,True
s01_C_creak_D001,h1_a3_db_mean,numeric,9.465374739295376,-11.366483137697339,-20.831857876992714,-220.08487197563915,True,True
s01_C_creak_D002,h1_a3_db_mean,numeric,3.4090185910735835,-22.166030790717762,-25.575049381791345,-750.2173631073433,True,True
s01_C_creak_D003,h1_h2_db_mean,numeric,0.6257379131540279,-23.330250985990734,-23.955988899144764,-3828.4381360871607,True,True
s01_C_creak_D003,h1_a3_db_mean,numeric,9.078965861538062,-16.595264167947988,-25.67423002948605,-282.78804459714746,True,True
